epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,124.602,0.57911,0.63147,0.96772,0.79343,0.83268,0.80807,0.61513,1.15291,1.36383,1.16263,0.000977987,0.000977987,0.000977987
169,125.242,0.76711,0.91573,1.07933,0.79343,0.83268,0.80807,0.61513,1.15291,1.36383,1.16263,0.000973861,0.000973861,0.000973861
170,125.947,0.6598,0.62559,0.94496,0.81819,0.85498,0.80808,0.62765,1.16181,1.24618,1.17291,0.000969736,0.000969736,0.000969736
171,126.711,0.58504,0.63238,0.91196,0.81819,0.85498,0.80808,0.62765,1.16181,1.24618,1.17291,0.00096561,0.00096561,0.00096561
172,127.448,0.6592,0.62071,0.98217,0.83758,0.84444,0.80808,0.6068,1.25533,1.26613,1.20202,0.000961484,0.000961484,0.000961484
173,128.131,0.87978,0.79621,1.08106,0.83758,0.84444,0.80808,0.6068,1.25533,1.26613,1.20202,0.000957358,0.000957358,0.000957358
174,128.822,0.70272,0.71998,1.0106,0.85768,0.85249,0.80807,0.6027,1.3451,1.32197,1.27523,0.000953232,0.000953232,0.000953232
175,129.471,0.71191,0.79685,0.97423,0.85768,0.85249,0.80807,0.6027,1.3451,1.32197,1.27523,0.000949106,0.000949106,0.000949106
176,130.46,0.51385,0.6262,0.93021,0.74599,0.85988,0.77056,0.56736,1.46805,1.40255,1.41392,0.000944981,0.000944981,0.000944981
177,131.133,0.63394,0.63828,0.90808,0.74599,0.85988,0.77056,0.56736,1.46805,1.40255,1.41392,0.000940855,0.000940855,0.000940855
178,131.818,0.6757,0.68667,1.00387,0.75733,0.83573,0.77889,0.58451,1.48041,1.41551,1.39194,0.000936729,0.000936729,0.000936729
179,132.49,0.62504,0.61856,0.97077,0.75733,0.83573,0.77889,0.58451,1.48041,1.41551,1.39194,0.000932603,0.000932603,0.000932603
180,133.17,0.6962,0.68317,0.99297,0.70739,0.875,0.80809,0.60883,1.4068,1.41904,1.34494,0.000928477,0.000928477,0.000928477
181,133.814,0.65156,0.79241,1.13038,0.70739,0.875,0.80809,0.60883,1.4068,1.41904,1.34494,0.000924352,0.000924352,0.000924352
